TEMP PH ORP EC TDS SAL SG DO SAT TIME
21.727 8.28 53.60 260.30 140.00 0.12 1.00 33.80 0.00 0:0:17 D/M/Y:31/12/2095
21.745 8.23 58.50 258.30 139.00 0.12 1.00 31.01 0.00 0:0:34 D/M/Y:31/12/2095
21.756 8.20 59.70 256.40 138.00 0.12 1.00 28.56 0.00 0:0:50 D/M/Y:31/12/2095
21.762 8.18 61.00 255.10 137.00 0.12 1.00 29.10 0.00 0:1:6 D/M/Y:31/12/2095
21.765 8.17 62.30 254.20 137.00 0.12 1.00 30.40 0.00 0:1:22 D/M/Y:31/12/2095
4.646 8.14 128.40 14020.00 7574.00 8.10 1.01 113.08 0.00 0:0:18 D/M/Y:31/12/2095
4.669 8.10 130.20 14000.00 7563.00 8.09 1.01 111.97 0.00 0:0:34 D/M/Y:31/12/2095
4.503 8.09 131.40 14000.00 7563.00 8.09 1.01 113.06 0.00 0:0:50 D/M/Y:31/12/2095
4.656 8.07 132.30 14010.00 7566.00 8.09 1.01 112.90 0.00 0:1:6 D/M/Y:31/12/2095
4.639 8.06 132.50 10730.00 5797.00 6.07 1.00 112.69 0.00 0:1:22 D/M/Y:31/12/2095
4.625 8.05 133.30 14020.00 7572.00 8.10 1.01 113.95 0.00 0:1:38 D/M/Y:31/12/2095
4.476 8.04 133.40 13120.00 7086.00 7.54 1.01 114.01 0.00 0:1:54 D/M/Y:31/12/2095
4.611 8.04 134.10 12580.00 6793.00 7.20 1.01 113.73 0.00 0:2:10 D/M/Y:31/12/2095
4.488 8.03 134.70 14030.00 7581.00 8.11 1.01 114.16 0.00 0:2:26 D/M/Y:31/12/2095
4.501 8.03 134.70 14020.00 7573.00 8.10 1.01 113.55 0.00 0:2:42 D/M/Y:31/12/2095
4.519 8.03 134.90 13990.00 7555.00 8.08 1.01 113.79 0.00 0:2:58 D/M/Y:31/12/2095
4.527 8.02 135.30 14040.00 7586.00 8.12 1.01 113.00 0.00 0:3:14 D/M/Y:31/12/2095
4.533 8.02 135.30 14050.00 7591.00 8.12 1.01 113.75 0.00 0:3:30 D/M/Y:31/12/2095
4.531 8.02 135.50 14050.00 7587.00 8.12 1.01 111.87 0.00 0:3:46 D/M/Y:31/12/2095
4.532 8.02 135.50 14050.00 7589.00 8.12 1.01 113.87 0.00 0:4:2 D/M/Y:31/12/2095
4.534 8.02 64.50 14050.00 7588.00 8.12 1.01 113.31 0.00 0:4:18 D/M/Y:31/12/2095
4.528 8.01 83.40 14050.00 7588.00 8.12 1.01 112.76 0.00 0:4:34 D/M/Y:31/12/2095
4.538 8.02 87.50 14030.00 7577.00 8.11 1.01 113.22 0.00 0:4:50 D/M/Y:31/12/2095
4.531 8.09 89.80 23770.00 12839.00 13.72 1.01 113.55 0.00 0:5:5 D/M/Y:31/12/2095
4.535 8.09 91.60 23810.00 12859.00 13.75 1.01 112.31 0.00 0:5:21 D/M/Y:31/12/2095
4.525 8.09 93.10 23800.00 12856.00 13.74 1.01 113.01 0.00 0:5:37 D/M/Y:31/12/2095
4.519 8.09 94.10 23820.00 12867.00 13.76 1.01 114.38 0.00 0:5:51 D/M/Y:31/12/2095
4.516 8.08 95.10 23820.00 12867.00 13.76 1.01 115.17 0.00 0:6:7 D/M/Y:31/12/2095
4.506 8.09 96.00 23750.00 12826.00 13.71 1.01 113.82 0.00 0:6:23 D/M/Y:31/12/2095
