

TEMP PH ORP EC TDS SAL SG DO SAT TIME
20.049 3.99 147.80 0.00 0.00 0.00 1.00 9.19 101.20 8:31:28 D/M/Y:18/10/2017
20.210 3.99 153.30 0.00 0.00 0.00 1.00 9.46 104.20 8:36:28 D/M/Y:18/10/2017
20.361 3.98 158.30 0.00 0.00 0.00 1.00 9.46 104.50 8:41:29 D/M/Y:18/10/2017
20.609 3.99 165.80 0.00 0.00 0.00 1.00 9.27 103.30 8:46:29 D/M/Y:18/10/2017
20.623 3.99 174.20 0.00 0.00 0.00 1.00 9.16 102.00 8:51:30 D/M/Y:18/10/2017
20.597 3.99 181.90 0.00 0.00 0.00 1.00 9.48 105.50 8:56:31 D/M/Y:18/10/2017
20.913 3.99 185.60 0.00 0.00 0.00 1.00 9.12 102.10 9:1:31 D/M/Y:18/10/2017
21.130 4.00 189.30 0.00 0.00 0.00 1.00 9.32 104.80 9:6:32 D/M/Y:18/10/2017
20.292 3.99 192.30 0.00 0.00 0.00 1.00 9.16 102.00 9:11:33 D/M/Y:18/10/2017
18.485 3.96 196.80 0.00 0.00 0.00 1.00 9.47 101.00 9:16:33 D/M/Y:18/10/2017
18.879 3.96 199.80 0.00 0.00 0.00 1.00 9.51 102.20 9:21:34 D/M/Y:18/10/2017
11.417 3.88 200.40 0.00 0.00 0.00 1.00 10.32 94.50 9:26:35 D/M/Y:18/10/2017
12.360 3.90 203.90 0.00 0.00 0.00 1.00 11.21 104.90 9:31:35 D/M/Y:18/10/2017
13.494 3.92 202.40 0.00 0.00 0.00 1.00 11.18 107.30 9:36:36 D/M/Y:18/10/2017
15.626 3.95 206.80 0.00 0.00 0.00 1.00 10.97 110.20 9:41:37 D/M/Y:18/10/2017
15.134 3.94 207.40 0.00 0.00 0.00 1.00 10.74 106.90 9:46:37 D/M/Y:18/10/2017
16.905 3.96 203.40 0.00 0.00 0.00 1.00 10.48 108.20 9:51:38 D/M/Y:18/10/2017
16.930 3.97 204.80 0.00 0.00 0.00 1.00 10.30 106.40 9:56:39 D/M/Y:18/10/2017
17.143 3.97 205.90 0.00 0.00 0.00 1.00 10.14 104.80 10:1:39 D/M/Y:18/10/2017
17.018 3.97 206.90 0.00 0.00 0.00 1.00 10.23 105.90 10:6:40 D/M/Y:18/10/2017
16.988 3.97 207.60 0.00 0.00 0.00 1.00 10.11 104.60 10:11:41 D/M/Y:18/10/2017
16.958 3.97 208.70 0.00 0.00 0.00 1.00 10.22 105.70 10:16:41 D/M/Y:18/10/2017
16.930 3.98 209.50 0.00 0.00 0.00 1.00 10.20 105.40 10:21:42 D/M/Y:18/10/2017
16.821 3.97 210.20 0.00 0.00 0.00 1.00 10.23 105.70 10:26:43 D/M/Y:18/10/2017
16.991 3.97 210.80 0.00 0.00 0.00 1.00 10.18 105.40 10:31:43 D/M/Y:18/10/2017
16.961 3.97 211.30 0.00 0.00 0.00 1.00 10.13 104.80 10:36:44 D/M/Y:18/10/2017
16.977 3.97 212.10 0.00 0.00 0.00 1.00 10.07 104.20 10:41:45 D/M/Y:18/10/2017
16.830 3.97 212.40 0.00 0.00 0.00 1.00 10.04 103.80 10:46:45 D/M/Y:18/10/2017
16.798 3.97 213.10 0.00 0.00 0.00 1.00 10.08 103.90 10:51:46 D/M/Y:18/10/2017
16.802 3.97 213.70 0.00 0.00 0.00 1.00 10.03 103.40 10:56:47 D/M/Y:18/10/2017
16.995 3.98 214.00 0.00 0.00 0.00 1.00 9.98 103.30 11:1:47 D/M/Y:18/10/2017
16.845 3.98 214.60 0.00 0.00 0.00 1.00 10.03 103.80 11:6:48 D/M/Y:18/10/2017
16.819 3.97 215.10 0.00 0.00 0.00 1.00 9.99 103.00 11:11:49 D/M/Y:18/10/2017
16.819 3.97 215.60 0.00 0.00 0.00 1.00 10.00 103.10 11:16:49 D/M/Y:18/10/2017
16.819 3.97 216.10 0.00 0.00 0.00 1.00 10.06 103.70 11:21:50 D/M/Y:18/10/2017
16.789 3.97 216.60 0.00 0.00 0.00 1.00 10.01 103.10 11:26:51 D/M/Y:18/10/2017
16.601 3.97 217.40 0.00 0.00 0.00 1.00 10.06 103.20 11:31:51 D/M/Y:18/10/2017
16.582 3.97 217.70 0.00 0.00 0.00 1.00 9.90 101.60 11:36:52 D/M/Y:18/10/2017
16.413 3.97 218.40 0.00 0.00 0.00 1.00 10.04 102.90 11:41:53 D/M/Y:18/10/2017
16.385 3.97 218.80 0.00 0.00 0.00 1.00 10.05 102.70 11:46:53 D/M/Y:18/10/2017
16.356 3.96 219.40 0.00 0.00 0.00 1.00 10.14 103.50 11:51:54 D/M/Y:18/10/2017
16.304 3.97 219.90 0.00 0.00 0.00 1.00 9.98 101.80 11:56:55 D/M/Y:18/10/2017
16.255 3.97 220.50 0.00 0.00 0.00 1.00 9.94 101.30 12:1:56 D/M/Y:18/10/2017
16.123 3.96 220.90 0.00 0.00 0.00 1.00 9.99 101.50 12:6:56 D/M/Y:18/10/2017
16.123 3.97 221.70 0.00 0.00 0.00 1.00 9.95 101.10 12:11:57 D/M/Y:18/10/2017
16.106 3.96 222.00 0.00 0.00 0.00 1.00 10.12 102.70 12:16:58 D/M/Y:18/10/2017
16.080 3.96 222.50 0.00 0.00 0.00 1.00 10.15 103.10 12:21:58 D/M/Y:18/10/2017
16.246 3.96 223.30 0.00 0.00 0.00 1.00 10.13 102.90 12:26:59 D/M/Y:18/10/2017
15.979 3.96 223.90 0.00 0.00 0.00 1.00 10.06 101.90 12:32:0 D/M/Y:18/10/2017
15.966 3.96 224.70 0.00 0.00 0.00 1.00 10.30 104.30 12:37:0 D/M/Y:18/10/2017
15.819 3.96 225.60 0.00 0.00 0.00 1.00 10.16 102.50 12:42:1 D/M/Y:18/10/2017
15.807 3.96 226.60 0.00 0.00 0.00 1.00 10.20 103.00 12:47:2 D/M/Y:18/10/2017
15.819 3.96 228.10 0.00 0.00 0.00 1.00 10.14 102.30 12:52:2 D/M/Y:18/10/2017
15.791 3.95 229.00 0.00 0.00 0.00 1.00 10.15 102.40 12:57:3 D/M/Y:18/10/2017
